,NaiveMean,RW,RWD,DiffusionIndex,Ridge,Lasso
2015-01-01,0.25461768124183415,1.2421476026585054,1.2707954718287244,0.1574806575383687,0.25335072540596126,0.2556188320762879
2015-04-01,-0.03002149170554258,-0.6660743646612843,-0.6958702028186905,-0.19393042260183357,-0.03582911388144305,-0.02923793100749783
2015-07-01,-0.2529870320973532,-0.8086186210091384,-0.8354780644806641,-0.43014826324846456,-0.25858105722798497,-0.25238939808591554
2015-10-01,-0.46683733493740687,-0.3201494288328277,-0.32208532522004785,-0.7872081503742412,-0.4794357226894417,-0.46619871615063235
2016-01-01,-0.07541458235289666,-0.3186081358453663,-0.33416184830397255,-0.3659579691721,-0.08557833628582501,-0.07485719146786507
2016-04-01,-0.332345970702417,-0.29688509198635415,-0.302685405908633,-0.39710839022225675,-0.3328686341783522,-0.3504787439211039
2016-07-01,0.056078766254288315,0.3074397075414126,0.30914361670170454,-0.0569212966117596,0.05336548210621683,0.05671248646919236
2016-10-01,-0.09411847314141186,0.36845935591056644,0.3774416061409751,-0.23686391057297584,-0.09782454320792788,-0.09335391045555363
2017-01-01,-0.1606029324095829,-0.09213791874351784,-0.09645930016669646,-0.29799150735880087,-0.16412092589065008,-0.15729407986103372
2017-04-01,-0.08530881132905643,0.23770153503051006,0.241990734638519,-0.028705589606300652,-0.08195817379864878,-0.08569333669917567
2017-07-01,0.141293039234325,0.07854560657438725,0.07002989204206089,0.08835969323279258,0.1401223856191426,0.13460307749480505
2017-10-01,0.4773471356744965,0.5679742483183148,0.5645813639211504,0.3642535790290926,0.47546504678083146,0.47820335542965675
2018-01-01,0.1679954822662707,0.32441072181335073,0.3232262282004712,0.08109454844496422,0.16501506984550307,0.1688869558106113
2018-04-01,-0.11203223930301642,-0.028889870920956184,-0.03240682404322204,-0.25048941005115244,-0.11572566580789145,-0.1111259679211638
2018-07-01,-0.02083567014144838,-0.16367104316223902,-0.17442771423991132,-0.06665051252264831,-0.01915498231139623,-0.004706078505136491
2018-10-01,-0.5048170883950595,-0.9791987786210044,-1.0005148809204274,-0.6110489142295069,-0.5271199718608661,-0.5142605856487487
2019-01-01,-0.025263158238293615,-0.18774216419021883,-0.19910701144720766,-0.06277748951893791,-0.028586860827670812,-0.024578392753910494
2019-04-01,0.1849537723756034,0.3022565629127172,0.299752323041802,0.13551320553607682,0.18150795832242872,0.17024744059392216
2019-07-01,0.516678264395397,0.5414497755683811,0.5361017157849697,0.42145180390920667,0.5139614560318682,0.517387349642551
2019-10-01,0.036886473303518685,0.5380195984869829,0.5474885694466499,0.014500064350066122,0.03721442749489445,0.03771138843671773
2020-01-01,-1.9675853076865182,-1.9474392615233427,-1.9527245053773634,-1.9649589064079964,-1.965590171204315,-1.9667620313711747
2020-04-01,-8.84826615487479,-9.035998397316547,-9.047586040916002,-8.847986403896748,-8.842592043167791,-8.847270494824933
2020-07-01,6.827928975641447,6.312539378153836,6.291067958497193,6.809017622999538,6.829011044619146,6.824107178981918
2020-10-01,0.4790831722402247,0.447575368898967,0.44070139748709225,0.5057138258512934,0.4842425480142555,0.48655599650479453
2021-01-01,0.752617078864648,2.711226624270502,2.763799884279514,1.2652307876274902,0.797466911662458,0.8145157308612158
2021-04-01,1.1185337662724444,9.891891958203303,10.146409786395495,1.9915490568452654,1.2050699650427603,1.6448597996050534
2021-07-01,0.20258168825653833,-6.654081722052929,-6.85923395801606,-1.1673247576727066,0.10137428217960598,-0.5324214944441867
2021-10-01,1.0784610273543156,0.5740633432671061,0.5544154183048808,0.6914787022006352,1.0578269362911739,0.787661528754777
2022-01-01,-0.8833180969971899,-1.6412884447692733,-1.6682489943798153,-0.8757886590458235,-0.8791336914626048,-0.8821218066066283
2022-04-01,-0.4792830230170736,-1.531146759091051,-1.5665263533673013,-0.10657945093294846,-0.46409745790835844,-0.47831483145857534
2022-07-01,0.08228913487698775,-0.10236158166261333,-0.1129256202352178,0.3919842225134593,0.09329485332044252,0.08321235172709318
2022-10-01,0.04341008345473696,-1.0133331739391238,-1.048598434628247,0.39883272044887286,0.054284375350383995,0.04411250438720682
2023-01-01,0.08303172142275983,0.9763674612202067,0.9960712191447643,0.5621930478434525,0.09903847418397049,0.08390761372215516
2023-04-01,-0.00898022229766493,0.46948445971626285,0.47761948636688206,0.4810873522989061,0.013918714867355741,-0.008016281818751136
2023-07-01,0.5115352635001789,0.42769640707991385,0.4202475580310395,0.7033083019240691,0.5157433509202549,0.5124761283698104
2023-10-01,0.20469095266769743,0.1526457676146009,0.14610923116186791,0.29574091545766623,0.20804407043561324,0.2056152667656468
2024-01-01,-0.42675966878465166,-0.5116022284603616,-0.5190024492880424,-0.38625075063310554,-0.42467008393230177,-0.4258578057643242
2024-04-01,0.24525816050404414,0.2556797994721194,0.25090619135606607,0.2945219165498115,0.24850128891481127,0.24615574630297654
2024-07-01,0.18166014082970017,-0.3256074247042662,-0.3443380873915578,0.15642295153042907,0.18553398672552168,0.20173078383330623
2024-10-01,-0.18224434831880432,-0.3816944098138819,-0.3921271924309314,-0.1979823078614833,-0.1820207511131159,-0.19255068194728708
2025-01-01,-0.8008751349539583,-0.37229004710663816,-0.36594185868165563,-0.7679397609948347,-0.7965972021664584,-0.8041683335661024
2025-04-01,0.30173602805273636,0.05996430652199791,0.048587903896574525,0.34441069611040054,0.30398095356313193,0.3025159219114745
2025-07-01,0.429598628412558,0.2491995253555146,0.23947116560656445,0.418221864489594,0.428582163045365,0.41710731582629057
2025-10-01,-0.5195486293479704,-0.3385482375525939,-0.33879589828832046,-0.5175045964185334,-0.5186780118816554,-0.5187791645969109
2026-01-01,-0.14213046578384125,0.6551949892926956,0.6709868385868821,-0.047585839878870884,-0.13881613267624082,-0.1404715458354897
