,NaiveMean,RW,RWD,DiffusionIndex,Ridge,Lasso
2015-01-01,0.641837106450657,-0.34569281496601434,-0.3743406841362333,0.7389741301541224,0.6431040622865298,0.6408359556162032
2015-04-01,0.6475161499591904,1.2835690229149321,1.3133648610723383,0.8114250808554814,0.6533237721350909,0.6467325892611456
2015-07-01,0.6524332436663743,1.2080648325781596,1.2349242760496852,0.8295944748174857,0.6580272687970061,0.6518356096549367
2015-10-01,0.651146507647913,0.5044586015433339,0.506394497930554,0.9715173230847474,0.6637448953999479,0.6505078888611385
2016-01-01,0.6532612342000215,0.8964547876924911,0.9120085001510974,0.9438046210192248,0.6634249881329498,0.6527038433149899
2016-04-01,0.6529555369697106,0.6174946582536478,0.6232949721759267,0.7177179564895504,0.6534782004456459,0.6710883101883975
2016-07-01,0.6508071528561454,0.39944621156902116,0.3977423024087292,0.7638072157221933,0.6535204370042169,0.6501734326412414
2016-10-01,0.6468870017624845,0.18430917271050618,0.1753269224800975,0.7896324391940485,0.6505930718290005,0.6461224390766263
2017-01-01,0.6463116655131899,0.5778466518471248,0.5821680332703034,0.7837002404624078,0.649829658994257,0.6430028129646407
2017-04-01,0.6436199126268601,0.32060956626729364,0.3163203666592847,0.5870166909041044,0.6402692750964525,0.6440044379969794
2017-07-01,0.644138486450496,0.7068859191104337,0.7154016336427601,0.6970718324520284,0.6453091400656784,0.650828448190016
2017-10-01,0.6433956412648909,0.5527685286210726,0.556161413018237,0.7564891979102948,0.6452777301585559,0.6425394215097306
2018-01-01,0.642123972650687,0.48570873310360696,0.4868932267164865,0.7290249064719935,0.6451043850714546,0.6412324991063464
2018-04-01,0.6414534696798639,0.5583111012978037,0.5618280544200696,0.779910640428,0.645146896184739,0.6405471982980113
2018-07-01,0.6425961526640304,0.785431525684821,0.7961881967624933,0.6884109950452303,0.6409154648339782,0.6264665610277185
2018-10-01,0.6463610867134425,1.1207427769393874,1.1420588792388104,0.75259291254789,0.6686639701792492,0.6558045839671317
2019-01-01,0.6476404489650325,0.8101194549169577,0.8214843021739465,0.6851547802456768,0.6509641515544097,0.6469556834806494
2019-04-01,0.6467240209139613,0.5294212303768475,0.5319254702477627,0.6961645877534879,0.650169834967136,0.6614303526956425
2019-07-01,0.6465319936955661,0.621760482522582,0.6271085423059934,0.7417584541817565,0.649248802059095,0.6458229084484122
2019-10-01,0.6426771235018472,0.14154399831838305,0.132075027358716,0.6650635324552998,0.6423491693104715,0.6418522083686482
2020-01-01,0.6425233368899145,0.6223772907267389,0.6276625345807596,0.6398969356113925,0.6405282004077112,0.641700060574571
2020-04-01,0.6439455508478066,0.8316777932895647,0.8432654368890193,0.6436657998697662,0.6382714391408091,0.6429498907979505
2020-07-01,0.6478206606033525,1.1632102580909631,1.1846816777476068,0.6667320132452614,0.6467385916256535,0.6516424572628814
2020-10-01,0.6480557934641082,0.6795635968053659,0.6864375682172407,0.6214251398530395,0.6428964176900774,0.6405829691995384
2021-01-01,0.63354757460925,-1.3250619707966038,-1.3776352308056161,0.12093386584640775,0.5886977418114401,0.5716489226126823
2021-04-01,0.569037587903876,-8.204320604026982,-8.458838432219174,-0.3039777026689449,0.48250138913356017,0.042711554571267074
2021-07-01,0.619086225935332,7.4757496362447995,7.68090187220793,1.988992671864577,0.7202936320122644,1.354089408636057
2021-10-01,0.6227412816171234,1.127138965704333,1.1467868906665581,1.0097236067708037,0.6433753726802651,0.913540780216662
2022-01-01,0.6281943057018147,1.386164653473898,1.4131252030844401,0.6206648677504483,0.6240099001672296,0.6269980153112531
2022-04-01,0.635707618102343,1.6875713541763204,1.7229509484525707,0.26300404601821786,0.6205220529936278,0.6347394265438447
2022-07-01,0.6370171976522693,0.8216679141918704,0.8322319527644748,0.3273221100157977,0.6260114792088145,0.6360939808021638
2022-10-01,0.6444590515775782,1.701202308971439,1.7364675696605623,0.2890364145834423,0.6335847596819312,0.6437566306451084
2023-01-01,0.6382119485020716,-0.2551237912953752,-0.27482754921993285,0.15905062208137902,0.622205195740861,0.6373360562026763
2023-04-01,0.6348892770991972,0.1564245950852694,0.1482895684346502,0.14482170250262613,0.6119903399341765,0.6339253366202834
2023-07-01,0.635467476108992,0.719306332529257,0.7267551815781313,0.4436944376851017,0.631259388688916,0.6345266112393605
2023-10-01,0.6358239499792186,0.6878691350323152,0.6944056714850482,0.5447739871892499,0.6324708322113028,0.6348996358812693
2024-01-01,0.6364011102491215,0.7212436699248315,0.7286438907525122,0.5958921920975754,0.6343115253967716,0.635499247228794
2024-04-01,0.6363306937696075,0.6259090548015322,0.6306826629175856,0.5870669377238401,0.6330875653588404,0.6354331079706751
2024-07-01,0.6397351740752045,1.1470027396091709,1.1657334022964625,0.6649723633744756,0.635861328179383,0.6196645310715985
2024-10-01,0.6410648411518385,0.8405149026469161,0.8509476852639656,0.6568028006945175,0.64084124394615,0.6513711747803212
2025-01-01,0.63822652931179,0.20964144146446984,0.20329325303948728,0.6052911553526664,0.63394859652429,0.6415197279239341
2025-04-01,0.6398171327429132,0.8815888542736516,0.892965256899075,0.597142464685249,0.6375722072325176,0.6390372388841751
2025-07-01,0.6409962118478613,0.8213953149049047,0.8311236746538548,0.6523729757708253,0.6420126772150543,0.6534875244341287
2025-10-01,0.6398208846284107,0.45882049283303417,0.45906815356876074,0.6377768516989737,0.6389502671620957,0.6390514198773511
2026-01-01,0.6346768494343685,-0.16264860564216832,-0.17844045493635488,0.5401322235293982,0.6313625163267681,0.633017929486017
